name,address,website,lat,lng,drive_distance,drive_time
Carlock Nissan of Tupelo,"3969 N Gloster St, Tupelo, MS 38804, USA",https://www.carlocknissanoftupelo.com/,34.3116554,-88.70762099999999,387 km,3 hours 58 mins
"LARRY CLARK CHEVROLET GMC, INC.","533 US-278, Amory, MS 38821, USA",https://www.mr-truck.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_sales_websitelink,33.9767795,-88.4945915,385 km,4 hours 5 mins
Crossroads Chevrolet GMC,"1701 US-72, Corinth, MS 38834, USA",https://www.crossroadsgm.net/?utm_medium=organic&utm_source=GMBlisting&utm_campaign=chevroletgmcsales,34.9303598,-88.5413883,356 km,3 hours 42 mins
Jones Ford,"510 Florence Rd, Savannah, TN 38372, USA",https://www.jones-ford.com/,35.2170865,-88.2401706,343 km,3 hours 38 mins
Jones GMC,"545 Florence Rd, Savannah, TN 38372, USA",https://www.jones-gmc.com/,35.2165573,-88.2387782,342 km,3 hours 38 mins
Jones Chrysler Dodge Jeep,"1350 Wayne Rd, Savannah, TN 38372, USA",https://www.jonescdjrofsavannah.com/,35.2259368,-88.22322899999999,339 km,3 hours 34 mins
Ford of Corinth,"1500 S Harper Rd, Corinth, MS 38834, USA",https://www.fordofcorinth.com/,34.9184461,-88.49860269999999,352 km,3 hours 38 mins
Lonnie Cobb Ford,"1618 US-45, Henderson, TN 38340, USA",http://www.lonniecobbford.com/,35.4612629,-88.6756468,429 km,4 hours 9 mins
Jones Nissan,"1260 Wayne Rd, Savannah, TN 38372, USA",https://www.jonesmotorconissan.com/,35.2259488,-88.2247404,340 km,3 hours 34 mins
Nissan of Corinth,"813 S Parkway St, Corinth, MS 38834, USA",https://www.corinthnissan.com/,34.9174003,-88.5053787,352 km,3 hours 38 mins
"Lofton Chevrolet, Inc.","1145 US-45 N, Henderson, TN 38340, USA",https://www.loftonchevy.com/,35.4559375,-88.6706494,429 km,4 hours 9 mins
Steve Marsh Ford,"12415 S 1st St, Milan, TN 38358, USA",https://www.stevemarshfordsales.com/?utm_medium=organic&utm_source=GMBlisting&utm_campaign=fordsales,35.8877369,-88.7488594,419 km,3 hours 58 mins
Golden Circle Chevrolet,"515 S Broad St, Lexington, TN 38351, USA",https://www.goldencirclechevrolet.com/,35.6389455,-88.4021921,386 km,3 hours 39 mins
Golden Circle Ford Parsons,"50 E Main St, Parsons, TN 38363, USA",https://www.goldencirclefordparsons.com/,35.649395600000005,-88.1258213,362 km,3 hours 25 mins
Peppers Toyota,"2400 E Wood St, Paris, TN 38242, USA",http://www.pepperstoyota.com/?utm_source=GMBListing&utm_medium=organic&utm_campaign=googlebusinessprofile,36.319255999999996,-88.280704,394 km,3 hours 56 mins
Camden Chevrolet,"260 W Main St, Camden, TN 38320, USA",https://www.camdenchevrolet.com/,36.058512199999996,-88.1137261,357 km,3 hours 27 mins
Peppers Chrysler Dodge Jeep Ram,"2440 E Wood St, Paris, TN 38242, USA",http://www.pepperschryslerdodgejeep.com/?utm_source=GMBListing&utm_medium=organic&utm_campaign=googlebusinessprofile,36.3201313,-88.2793006,397 km,3 hours 56 mins
Peppers Ford,"17825 Highland Dr, McKenzie, TN 38201, USA",https://www.peppersford.com/?utm_source=gmbsls&utm_medium=social&mcmid=gmbsls,36.145858499999996,-88.48204349999999,412 km,3 hours 55 mins
Joe Mahan Ford Inc,"211 Memorial Dr, Paris, TN 38242, USA",https://www.joemahanfordparis.com/,36.283476,-88.3026902,390 km,3 hours 51 mins
Benton Ford,"99 Main St, Benton, KY 42025, USA",https://www.bentonford.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,36.8692142,-88.34783279999999,416 km,3 hours 53 mins
Coad Toyota Paducah,"3941 Mike Smith Dr, Paducah, KY 42001, USA",https://www.coadtoyotapaducah.com/?utm_source=googlemybusiness&utm_medium=organic,37.0823873,-88.6812942,436 km,4 hours 2 mins
"Paducah Ford, Inc.","3476 Park Ave, Paducah, KY 42001, USA",https://www.paducahfordsvt.com/?utm_source=gmbsls&utm_medium=social&mcmid=gmbsls,37.0828063,-88.6609099,437 km,4 hours 3 mins
Purchase Ford,"1352 US-45 #1352, Mayfield, KY 42066, USA",https://www.purchaseford.net/?utm_source=google&utm_medium=organic&utm_campaign=GBP,36.760505599999995,-88.6412454,445 km,4 hours 7 mins
The Rock-Royal Oaks Chevrolet,"3417 Park Ave, Paducah, KY 42001, USA",http://www.royaloakschevy.us/,37.0845893,-88.6575306,436 km,4 hours 5 mins
"Linwood Chevrolet GMC, LLC","2007 US-45, Mayfield, KY 42066, USA",https://www.linwoodofmayfield.com/,36.7692979,-88.6447118,445 km,4 hours 6 mins
Watermark Honda,"3201 Park Ave, Paducah, KY 42001, USA",https://www.watermarkhonda.com/?utm_source=local&utm_medium=organic&utm_content=gmb,37.0842765,-88.64999949999999,438 km,4 hours 4 mins
Toyota of Murray,"1301 S 12th St, Murray, KY 42071, USA",http://www.toyotaofmurray.com/,36.5931108,-88.3146032,405 km,3 hours 55 mins
David Taylor Chrysler of Murray | DTC Murray,"2052 US-641, Murray, KY 42071, USA",https://www.dtcmurray.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-main,36.639675,-88.3079087,402 km,3 hours 50 mins
Parker Ford,"701 Main St, Murray, KY 42071, USA",https://www.parkerford.net/?utm_campaign=GBP_website_button&utm_medium=organic&utm_source=google,36.6101707,-88.30612769999999,403 km,3 hours 51 mins
David Taylor Chrysler of Mayfield | DTC Mayfield,"50 Kentex Dr, Mayfield, KY 42066, USA",https://www.davidtaylorchryslerofmayfield.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-main,36.779918599999995,-88.64309689999999,446 km,4 hours 7 mins
Linwood Motors Jeep,"3345 Park Ave, Paducah, KY 42001, USA",https://www.linwoodmotors.net/,37.0850018,-88.6549588,437 km,4 hours 4 mins
"Larry Stovesand Buick GMC, INC","3300 Park Ave, Paducah, KY 42001, USA",https://www.lsbuickgmc.com/,37.0826845,-88.65267490000001,438 km,4 hours 4 mins
Country Chevrolet GMC,"104 W 5th St, Benton, KY 42025, USA",https://www.country-chevrolet.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,36.865314,-88.353295,417 km,3 hours 53 mins
Nissan of Paducah,"3164 Park Ave, Paducah, KY 42001, USA",https://www.nissanofpaducah.com/,37.0829796,-88.6470537,438 km,4 hours 3 mins
Roberts Chevrolet GMC,"34460 US-43, Thomasville, AL 36784, USA",https://www.robertschevygmc.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,31.942417099999997,-87.7359606,458 km,4 hours 35 mins
"WINDHAM MOTOR CO., INC. Chevrolet","1344 US-80 E, Demopolis, AL 36732, USA",https://www.windhammotorco.com/,32.502463,-87.8194345,418 km,4 hours 1 min
Doc's Chevrolet GMC,"34460 US-43, Thomasville, AL 36784, USA",https://www.robertschevygmc.com/,31.942417099999997,-87.7359606,458 km,4 hours 35 mins
Two Rivers Ford,"104 E Washington St, Demopolis, AL 36732, USA",,32.5171273,-87.8371318,415 km,3 hours 57 mins
Chevrolet Buick,"Demopolis, AL 36732, USA",,32.502688,-87.8193986,418 km,4 hours 1 min
Tuscaloosa Ford,"5801 McFarland Blvd E, Tuscaloosa, AL 35405, USA",https://www.tuscaloosafordal.com/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,33.1541266,-87.5245259,324 km,3 hours 2 mins
Julio Jones Kia,"4301 Greensboro Ave, Tuscaloosa, AL 35405, USA",https://www.juliojoneskia.com/?utm_source=gmb&utm_medium=organic,33.16662,-87.54469,324 km,3 hours 3 mins
"ODOM CHEVROLET, INC.","130 Greensboro St, Eutaw, AL 35462, USA",https://www.odomchevrolet.com/,32.840188999999995,-87.8841277,376 km,3 hours 31 mins
Tuscaloosa Chrysler Dodge Jeep Ram,"550 Skyland E Blvd, Tuscaloosa, AL 35405, USA",https://www.tuscaloosacdjr.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp+sales,33.1689323,-87.5294114,323 km,3 hours 2 mins
Andrew Bynum GMC Inc,"2535 Temple Ave N, Fayette, AL 35555, USA",http://www.andrewbynumgmc.com/,33.7227325,-87.81653589999999,359 km,3 hours 28 mins
Mike Freeman Ford,"2024 Temple Ave N, Fayette, AL 35555, USA",https://www.mikefreemanford.net/?utm_source=gmbsls&utm_medium=social&mcmid=gmbsls,33.7135842,-87.8187518,360 km,3 hours 29 mins
Fikes Chevrolet,"771 Military St N, Hamilton, AL 35570, USA",http://www.fikeschevy.com/,34.1511952,-87.98316969999999,324 km,3 hours 25 mins
West Alabama Ford,"5859 US-278, Sulligent, AL 35586, USA",https://www.westalabamaford.net/,33.9019257,-88.1324178,390 km,3 hours 44 mins
Stanford Motors Inc Jeep,"9631 AL-18, Vernon, AL 35592, USA",https://stanfordmotors.com/,33.754912,-88.11319639999999,389 km,3 hours 52 mins
Singing River Toyota,"5100 US-43, Tuscumbia, AL 35674, USA",https://www.singingrivertoyota.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,34.713943,-87.6689379,270 km,2 hours 49 mins
Bentley Chevrolet,"1950 Florence Blvd, Florence, AL 35630, USA",https://www.bentleychevrolet.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb,34.822890199999996,-87.6474185,281 km,3 hours 0 mins
Singing River Honda Of Florence,"250 Cox Creek Pkwy, Florence, AL 35630, USA",https://singingriverhonda.com/,34.8355233,-87.6288955,279 km,2 hours 59 mins
Hyundai of The Shoals,"122 US-43, Tuscumbia, AL 35674, USA",https://www.hyundaioftheshoals.com/,34.714959,-87.668795,272 km,2 hours 52 mins
Singing River Nissan,"248 Cox Creek Pkwy, Florence, AL 35630, USA",https://www.singingrivernissan.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,34.834721099999996,-87.6287936,279 km,2 hours 58 mins
Kia of The Shoals,"4109 N Jackson Hwy, Sheffield, AL 35660, USA",https://www.kiaoftheshoals.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,34.7728471,-87.6698981,277 km,2 hours 56 mins
Long-Lewis Chevrolet of the Shoals,"118 Lee Hwy, US-43, Tuscumbia, AL 35674, USA",https://www.longlewisauto.com/shop?make=Chevrolet,34.7170598,-87.6687401,270 km,2 hours 49 mins
Long Lewis Mitsubishi,"1602 Florence Blvd, Florence, AL 35630, USA",http://www.longlewismitsubishi.com/,34.8207186,-87.6524097,281 km,3 hours 0 mins
Long-Lewis Volkswagen of the Shoals,"1602 Florence Blvd, Florence, AL 35630, USA",https://www.longlewisvw.com/,34.8204985,-87.652386,281 km,2 hours 59 mins
"Ray Miller GMC, INC.","246 Cox Creek Pkwy, Florence, AL 35630, USA",https://www.raymillergm.com/,34.8337873,-87.6282785,278 km,2 hours 59 mins
Helms Motor Co Inc RAM,"694 E Church St, Lexington, TN 38351, USA",https://www.helmsmotor.com/new-vehicles/#action=im_ajax_call&perform=get_results&make%5B%5D=Ram,35.641417499999996,-88.37867000000001,386 km,3 hours 39 mins
Toyota of Hopkinsville,"4395 Fort Campbell Blvd, Hopkinsville, KY 42240, USA",https://www.toyotaofhopkinsville.com/?utm_medium=organic&utm_source=GMBlisting&utm_campaign=toyotasales,36.8232953,-87.4748683,323 km,3 hours 2 mins
White's Auto Mall Chrysler Dodge Jeep Ram,"4599 Fort Campbell Blvd, Hopkinsville, KY 42240, USA",https://www.whitesautomallcdjr.com/,36.819376399999996,-87.47373979999999,318 km,3 hours 2 mins
Patriot Chevrolet GMC,"4401 Fort Campbell Blvd, Hopkinsville, KY 42240, USA",https://www.patriotchevroletgmc.com/?utm_medium=organic&utm_source=GMBlisting&utm_campaign=chevroletgmcsales,36.8223571,-87.47441099999999,323 km,3 hours 2 mins
Pennyrile Ford,"5505 Fort Campbell Blvd, Hopkinsville, KY 42240, USA",https://www.pennyrileford.com/?utm_source=GoogleBusinessProfile&utm_medium=organic,36.801158099999995,-87.4731415,316 km,3 hours 0 mins
Wildcat Chevrolet,"5525 Hopkinsville Rd, Cadiz, KY 42211, USA",http://www.wildcatchevrolet.com/,36.877009,-87.74093200000002,338 km,3 hours 11 mins
White's Auto Mall Honda,"4755 Fort Campbell Blvd, Hopkinsville, KY 42240, USA",https://www.whitesautomallhonda.com/?utm_source=google&utm_medium=organic&utm_campaign=whites_auto_mall_honda_gbp,36.8173313,-87.4732703,318 km,3 hours 1 min
White's Auto Mall Nissan,"10800 Eagle Way, Hopkinsville, KY 42240, USA",https://www.whitesautomallnissan.com/,36.8193003,-87.4737265,318 km,3 hours 2 mins
Dwain Taylor Chevrolet GMC,"1307 S 12th St, Murray, KY 42071, USA",https://www.dwaintaylorchevrolet.com/,36.5923777,-88.3144398,406 km,3 hours 55 mins
David Taylor Chrysler of Benton | DTC Benton,"101 W 5th St, Benton, KY 42025, USA",https://www.dtcbenton.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-main,36.8637855,-88.3514088,418 km,3 hours 52 mins
Toyota of Madisonville,"1055 Crossing Pl, Madisonville, KY 42431, USA",https://www.toyotaofmadisonville.com/?utm_source=gmb&utm_medium=organic&utm_content=gmb,37.351932999999995,-87.484447,383 km,3 hours 33 mins
Trice Hughes Chevrolet GMC,"111 KY-91, Princeton, KY 42445, USA",http://www.tricehugheschevrolet.com/;%20www.tricehughesgmc.com,37.1186337,-87.89701269999999,372 km,3 hours 33 mins
Honda of Princeton,"1014 W Main St, Princeton, KY 42445, USA",https://www.hondaofprinceton.com/,37.115955299999996,-87.8943492,372 km,3 hours 32 mins
Kenny Kent Toyota,"5600 E Division St, Evansville, IN 47715, USA",https://www.kennykenttoyota.com/?utm_source=google&utm_medium=listing&utm_campaign=google-my-business,37.977910699999995,-87.4815994,461 km,4 hours 22 mins
Kenny Kent Chevrolet,"4600 E Division St, Evansville, IN 47715, USA",https://www.kennykentchevy.com/?utm_source=google&utm_medium=listing&utm_campaign=google-my-business,37.9773381,-87.4951249,460 km,4 hours 22 mins
D-Patrick Ford - The BIG Ford Store,"1100 E Walnut St, Evansville, IN 47714, USA",https://www.dpatrickford.com/?utm_source=google&utm_medium=gmb&utm_campaign=profilewebsitelink&utm_id=google+,37.9747118,-87.54568909999999,455 km,4 hours 17 mins
D-Patrick Honda,"4300 E Division St, Evansville, IN 47715, USA",https://www.dpathonda.com/?utm_source=google&utm_medium=gmb&utm_campaign=profilewebsitelink&utm_id=google+,37.977612,-87.498502,459 km,4 hours 21 mins
